"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Total clicks","Other Clicks","Matched Audience Targeting Consumption (Photo Click)","Link Clicks","Negative feedback from users: Hide","Negative feedback from users: Hide all","Seconds viewed","Average Seconds viewed","Ad CPM (USD)","Ad impressions","Estimated earnings (USD)"
122151797678654483,61569634500241,"Juan365 Live Stream","""You’ll always be a part of me ✨
And I’m part of you indefinitely.”

Catch more moments like this on Juan365 Livestream 🎥

#juanababes #juan365livestream #juan365 #juan36 #AllInJuanSaSaya","""You’ll always be a part of me ✨
And I’m part of you indefinitely.”

Catch more moments like this on Juan365 Livestream 🎥

#juanababes #juan365livestream #juan365 #juan36 #AllInJuanSaSaya",15,"11/16/2025 22:00",N/A,https://www.facebook.com/reel/1268072112033308/,1,0,Reels,,,,,Lifetime,1273,658,139,91,33,15,41,41,,,,,7619.315,7.642,,0,0
1399473931616618,61569634500241,"Juan365 Live Stream","Let’s go live Juankada!","Let’s go live Juankada! Kulitan + chikahan with your fave Juana Babes @[61580361006776:2048:Juana Babe Sena] and @[61580337497087:2048:Juana Babe Ashley] tara na! 🔥😎

#juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #juantambayan",7488,"11/16/2025 23:30",uploaded,https://www.facebook.com/juan365livestream/videos/1399473931616618/,0,0,Live,,,,,Lifetime,9114,8512,5728,1470,3007,1251,672,672,,,,,428393.559,61.515,0,0,
122151826292654483,61569634500241,"Juan365 Live Stream","Followers check! 👀 Kumusta na kayo, Juankada? Let’s make today fun!
Comment your Game ID and say “Present!” ✅

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,"11/17/2025 03:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid027TYNedt8yFT4NGWZU2jxJF5SEvpNzPH4kPHPrspGPGPQxzi9x8WHH63e7DeV1ojl,0,0,Photos,,,,,Lifetime,1906,906,250,118,101,31,144,136,8,,,,,,,,
122151831956654483,61569634500241,"Juan365 Live Stream","Juankada, we’ve got you! 🤝✨
We make every stream fun, safe, and full of good vibes.
Safety, support, and positivity—yan ang promise ng Juan365.

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"11/17/2025 04:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0hC7Z3nXAcF9TXwdap57mhm2mkTM8ryhzEWpzXY3vbb9Q8BFYX6YFduvR8MU7tfo8l,0,0,Photos,,,,,Lifetime,1353,730,95,61,20,14,35,28,7,,,,,,,,
122151854702654483,61569634500241,"Juan365 Live Stream","Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"11/17/2025 07:01",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0yrBmLauWxzWJXLdTcX92r9Jbciwb9cSFE2XM2sYFvh85MTtKBLqp6sDpFMP6JCfPl,0,0,Photos,,,,,Lifetime,1306,674,101,58,30,13,45,43,2,,1,,,,,,
122151878012654483,61569634500241,"Juan365 Live Stream","Alam mo ba Juankada?
May pasilip na sorpresa sina Juana Babe Jam at Juana Babe Zell  sa LIVE—at ikaw ang gusto nilang kasama! 👀

siguradong mapapangiti ka. 🥳

#juanababes #juan365livestream #juan365 #juan36 #AllInJuanSaSaya",,0,"11/17/2025 17:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid026TJ6DYWugodQad4aJeNnD2siWEjuM4oe6MFxN86LeQuYjqgkuu46wqZ38AMaKwDsl,0,0,Photos,,,,,Lifetime,1333,656,140,76,39,25,55,51,4,,,,,,,,
122151889304654483,61569634500241,"Juan365 Live Stream","Cutie energy lang si JuanaBabe Sena today 🧡✨","Cutie energy lang si JuanaBabe Sena today 🧡✨

#juanababes #juan365livestream #juan365",10,"11/17/2025 19:00",uploaded,https://www.facebook.com/juan365livestream/videos/1142050137997902/,1,0,Videos,,,,,Lifetime,1369,668,148,93,38,17,50,50,,,,,7065.834,7.492,0,0,0
122151908510654483,61569634500241,"Juan365 Live Stream","Join the fun, Juankada! Just remember to keep your gameplay responsible. 🎮🧡

#juanababes #juan365livestream #juan365",,0,"11/17/2025 21:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02Sd3ZSKUwTGtG1aJLdrScqcj2F6RDPRFXZoBKe29NAtDcJRMfSJLJ6R6dwrfFpyiYl,0,0,Photos,,,,,Lifetime,1528,776,143,77,52,14,44,39,5,,,,,,,,
852464764103900,61569634500241,"Juan365 Live Stream","Juanababe Zell and Jam","Andito na tayo mga Juankada! Tune in, don’t miss out With @[61580395595183:2048:Juana Babe Jam] and @[61580479407070:2048:Juana Babe Zell]! 🔥

#juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #juantambayan",7341,"11/17/2025 23:29",uploaded,https://www.facebook.com/juan365livestream/videos/852464764103900/,0,0,Live,,,,,Lifetime,12013,11255,7144,1612,3711,1821,713,713,,,,,607928.019,66.425,0,0,
122151931652654483,61569634500241,"Juan365 Live Stream","Ready na ba kayo para sa mas pinagandang surpresa mula kay Juan365🥳.Abangan ang bonggang bonggang sorpresa… Stay tuned, EveryJUAN! 📢Stay tuned, EveryJUAN! 📢

#juanababes #Juan365livestream #Juan365PH",,0,"11/17/2025 23:57",N/A,https://www.facebook.com/juan365livestream/posts/pfbid027v3RGpC26mNRaVEKXjjLmivGLWmQADc8zDVVp8E96KZXyJizoC2dHCVWF3hh8v9Pl,0,1,Text,,,,,Lifetime,,625,108,74,34,0,48,47,,1,,,,,,,
122151958970654483,61569634500241,"Juan365 Live Stream","Hindi nauubos ang good vibes. Araw-araw ang saya! Kaya tutok na sa Juan365 Livestream daily! 🔥

#juanababes #juan365livestream #juan365",,0,"11/18/2025 03:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0Vch1123rqEbpj1Z3M5zS4eySRjNzA632SifUgCYdgqAi8sRNJP8dcpAcc9VAMXgsl,0,0,Photos,,,,,Lifetime,2030,940,104,73,23,8,56,50,6,,,,,,,,
122151961904654483,61569634500241,"Juan365 Live Stream","Proof that love is… dancing with your favorite Juanababe Jam and Abi 💛

Music used belongs to its rightful owner. No copyright infringement intended.
#juanababes #Juan365livestream #juan365 #AllInJuanSaSaya","Proof that love is… dancing with your favorite Juanababe Jam and Abi 💛

Music used belongs to its rightful owner. No copyright infringement intended.
#juanababes #Juan365livestream #juan365 #AllInJuanSaSaya",17,"11/18/2025 04:01",mixed,https://www.facebook.com/reel/845334227991690/,1,0,Reels,,,,,Lifetime,1052,852,79,63,12,4,45,45,,,,,6078.644,7.219,,0,0
122151963500654483,61569634500241,"Juan365 Live Stream",,,0,"11/18/2025 04:27",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0B6ib4kM5QZgBwSP35ruPexhMDDFTgrUTmWZyoRuGwun3bbkMGZhc4K3kAs1rrBRal,0,1,Photos,,,,,Lifetime,1263,657,48,39,8,1,40,29,1,10,,,,,,,
122151974132654483,61569634500241,"Juan365 Live Stream","Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"11/18/2025 07:04",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0n6H778LkE1aNe1yiWRsJvVX4jCDyyRrEc6hmqc29CojPg8egGJizBVJbnt13Wjqal,0,0,Photos,,,,,Lifetime,1562,807,72,59,8,5,40,30,10,,,,,,,,
122151999422654483,61569634500241,"Juan365 Live Stream","Ready na ba kayo maki-kulitan at maki-bonding live? 😍 

Tara na sa Juan365 Livestream kasama sina Juanababes Zell, Abi, at Ashley! 

See you later, Juanakada! 🧡

#juanababes #juan365livestream #juan365 #juan36 #AllInJuanSaSaya",,0,"11/18/2025 17:14",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0N1bDrSg99YJd8CNv9p98xKn11sfhfzyFLkCe21sogR46W4rLhDm5yipRvh5uS6xpl,0,0,Photos,,,,,Lifetime,1220,599,95,71,17,7,40,34,6,,,,,,,,
122152006172654483,61569634500241,"Juan365 Live Stream","Enjoy the thrill, pero laging maglaro nang responsable. Importante sa amin ang bawat panalo at bet mo, Juankada!

#juanababes #juan365livestream #juan365",,0,"11/18/2025 18:58",N/A,https://www.facebook.com/juan365livestream/posts/pfbid021ZEtye6CqW94BaTZ9D8vmyyTjamCykskeTnCHNE8kV1C5pUB9A6X64fTtQcf8iVPl,0,0,Photos,,,,,Lifetime,1492,766,139,94,28,17,59,53,6,,,,,,,,
122152029164654483,61569634500241,"Juan365 Live Stream","Juankada fam! Gusto naming marinig kayo—i-share kung proud Juankada ka! 🧡🤗

#juanababes #juan365livestream #juan365 #juan36 #AllInJuanSaSaya",,0,"11/18/2025 22:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0EBPKLK6NDgT82GexmdBXPH9EKP6HvMkJSu9PQcM2kReurF9mVgU8andMdH4aTaHGl,0,0,Photos,,,,,Lifetime,2715,1177,230,119,63,48,136,111,11,14,,,,,,,
122152031132654483,61569634500241,"Juan365 Live Stream","Juankada, narito na ang mechanics para maka-sali sa Mas Pinasaya, Mas Pinaganda, at Mas Pinaraming Surpresa ni Juan! 🥳🤩

Don’t forget — more shares, more chances of winning, kaya ishare niyo na ng ishare! 💥

Ready na ba kayong manalo — LIVE sa Juan365 Livestream 😉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaNiJuanVer2",,0,"11/18/2025 22:32",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02E8sa4RqPS7Qj3jVsHvZjwGSg3qyucsqVJfENCg9LHzVyTY8xJE4aTag13j5ZzZDcl,0,1,Text,,,,,Lifetime,,522,137,101,36,0,36,34,,2,,,,,,,
1128995219400174,61569634500241,"Juan365 Live Stream","Huy Juankada, ready na ba? Tune in and ride the fun","Huy Juankada, ready na ba? Tune in and ride the fun with @[61580716220863:2048:Juana Babe Abi], @[61580337497087:2048:Juana Babe Ashley] & @[61580479407070:2048:Juana Babe Zell]!

#juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #juantambayan",7743,"11/18/2025 23:30",uploaded,https://www.facebook.com/juan365livestream/videos/1128995219400174/,0,0,Live,,,,,Lifetime,9787,9250,6710,1304,3740,1666,982,981,,1,,,444236.403,59.255,0,0,
122152081130654483,61569634500241,"Juan365 Live Stream","Cheers to today’s lucky winners! 🎉
T uloy lang ang saya — play smart, play with heart, and stayTuloy lang ang saya — play smart, play with heart, and stay#theresponsiblejuan responsible! 💖🎮

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"11/19/2025 07:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02nSbCqbpfUJ1tqjNtHjK3fRkse6iMyyAzfrzYwYxqkeYZN8o3H9XEy3k5ge2WbGqMl,0,0,Photos,,,,,Lifetime,2033,1029,169,97,54,18,67,59,8,,,,,,,,
122152127210654483,61569634500241,"Juan365 Live Stream","🚨 LIVE at 3:30 PM!
Join Juana Babe Abi  for today’s livestream! Tap in and vibe with us! 🌟

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"11/19/2025 19:10",N/A,https://www.facebook.com/juan365livestream/posts/pfbid034m7bc87MefaFLqyN8L8t2o6TWuAher5JeaNBRtTNPmXU65QM5qrSCbi8BAiyj6HKl,0,0,Photos,,,,,Lifetime,2492,1288,211,124,59,28,124,89,13,22,,,,,,,
122152139906654483,61569634500241,"Juan365 Live Stream","Craving happiness? Don’t wait—tap the Juan365 app now and join the fun! 🔥📲

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"11/19/2025 22:10",N/A,https://www.facebook.com/juan365livestream/posts/pfbid028ovA75gy5UNmzrmaXCRADguwZ927wCBBU2R8TjGLoh8hSYNfen2VS1Xm4HwpiKtLl,0,0,Photos,,,,,Lifetime,1765,966,157,83,52,22,65,63,2,,,,,,,,
2184896375366592,61569634500241,"Juan365 Live Stream","JuanaBabe Abi","Tara Juankada, real-time kwentuhan! with your @[61580716220863:2048:Juana Babe Abi] 💬😊

#juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #juantambayan",8112,"11/19/2025 23:30",uploaded,https://www.facebook.com/juan365livestream/videos/2184896375366592/,0,0,Live,,,,,Lifetime,12363,11812,11285,3716,5531,2038,1185,1182,,3,,,793243,84.19,0,0,
122152152146654483,61569634500241,"Juan365 Live Stream","Juan365 Live Stream updated their cover photo.",,0,"11/19/2025 23:49",N/A,https://www.facebook.com/photo.php?fbid=122152152146654483&set=a.122097244610654483&type=3,0,0,Photos,,,,,Lifetime,19,18,104,74,15,15,0,,,,,,,,,,
122152177430654483,61569634500241,"Juan365 Live Stream","Bugtong time: “Ano ang hindi umaalis pero laging nawawala?”
Wrong answers only—let’s see your funniest ideas! 😆💬

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,"11/20/2025 05:01",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0iN3R9qxz44zTNAPA4aivJJnWCZnNASdF2ckYpTTk9WVz1uhKG7Ht92vKdXTEYBMgl,0,0,Photos,,,,,Lifetime,2979,1478,266,121,128,17,276,255,21,,1,,,,,,
122152185326654483,61569634500241,"Juan365 Live Stream","Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"11/20/2025 07:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid021yGRCE8d5VZakGRK3pZriuo5tHXoFa3oNv5idjo1tnjZyCV6xNMKfoKZALpubvU2l,0,0,Photos,,,,,Lifetime,2541,1294,194,98,73,23,124,109,15,,1,,,,,,
122152213952654483,61569634500241,"Juan365 Live Stream","LIVE mamaya kasama si Juana Babe Abi and Juana Babe Sena  🔥
Double the energy, double the fun—sama na sa kulitan at mas exciting na livestream!

#juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",,0,"11/20/2025 18:26",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0Cazcv6E8f2AcCWH7Jq1WFZr4snFsoQvhdMvhDKXTKWVqfDajVX6LG89zkXLHCQ6ol,0,0,Photos,,,,,Lifetime,2277,1013,190,123,47,20,60,55,5,,1,,,,,,
122152219280654483,61569634500241,"Juan365 Live Stream","Ganitong energy pag Friday na — HELLO WEEKEND! 💃😎

#juanababes #juan365livestream #juan365","Ganitong energy pag Friday na — HELLO WEEKEND! 💃😎

#juanababes #juan365livestream #juan365",11,"11/20/2025 20:00",N/A,https://www.facebook.com/reel/1474241250304628/,1,0,Reels,,,,,Lifetime,1384,785,165,102,42,21,61,61,,,,,6976.317,6.907,,0,0
2589330214776977,61569634500241,"Juan365 Live Stream","Juanababe Abi and Sena","Araw ng good vibes Juankada! dito lang sa live! with @[61580716220863:2048:Juana Babe Abi] and @[61580361006776:2048:Juana Babe Sena]😊🥰

#juanababes #Juan365livestream #Juan365PH #Juan365 #AllInJuanSaSaya #JuanKada #TheResponsibleJuan #juantambayan",8017,"11/20/2025 23:30",uploaded,https://www.facebook.com/juan365livestream/videos/2589330214776977/,0,0,Live,,,,,Lifetime,10963,9420,9442,3066,4527,1849,1014,1006,,8,,,612130.815,73.83,0,0,
122152257902654483,61569634500241,"Juan365 Live Stream","Kung saan may tawanan, kwentuhan, kulit time, at walang sawang good vibes everyday — nandito ‘yan sa Juan365 Livestream!

Happiness Guaranteed. 🤩

#juanababes #Juan365livestream #Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",,0,"11/21/2025 02:30",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02hHFCa66QovE1JeBuniihGU6kQDKLhe29arH6yRdAA8gcbanXywd8vHkd6PMpPfLpl,0,0,Photos,,,,,Lifetime,1483,776,164,94,53,17,62,56,6,,,,,,,,
122152262030654483,61569634500241,"Juan365 Live Stream","Let’s make it a fun Friday — anong gagawin mo?🫣

#juanababes #juan365livestream #juan365",,0,"11/21/2025 04:05",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0Vja2gYxZUgrwdc1KpMdV8xbpRKtJkGyHxzmHCzoEb86Y6AeGbADvbhTeGNMWTwBZl,0,0,Photos,,,,,Lifetime,1320,686,150,87,42,21,42,37,5,,,,,,,,
122152271432654483,61569634500241,"Juan365 Live Stream","Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"11/21/2025 07:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid037UvXCDLnyvmj6CUQWYxe7zJqDve27L4HunG8vRCb1u2WyTu922QKw22gJQg5e4rxl,0,0,Photos,,,,,Lifetime,2301,1209,194,111,55,28,73,61,12,,,,,,,,
122152303298654483,61569634500241,"Juan365 Live Stream","🎥 See you LIVE at 3:30 PM!
Samahan niyo ako sa chikahan at kulitan mamaya!

✨ Trio the fun kasama sina Juanababe Jam, Abi, at Sena! 💛

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,"11/21/2025 20:07",N/A,https://www.facebook.com/juan365livestream/posts/pfbid0hi9UkkiHkWxpV41EhPby8rHWGv722uuNV3Ffhc2gXMsEyHuZ8cP1tsx7Rs2shssPl,0,0,Photos,,,,,Lifetime,3578,1591,304,185,76,43,104,90,14,,,,,,,,
122152312886654483,61569634500241,"Juan365 Live Stream","Ready na ba kayo, Juankada?
Sino kaya ang magiging lucky? Comment na at ipakita kung ano ang deserve mo! 🔥

#juanababes #juan365livestream #juan365",,0,"11/21/2025 22:00",N/A,https://www.facebook.com/juan365livestream/posts/pfbid02d4iyuYt82hKj9FbFNZXat3rvvoNEJNFLgdf3yKebKdPDzLh2xAQWEh9aYTQW4RHMl,0,0,Photos,,,,,Lifetime,5050,2341,347,154,143,50,328,253,22,53,,,,,,,
1957445268314558,61569634500241,"Juan365 Live Stream","Juanababe  Abi and Juanababe Sena","Tara sa live Juankada! let’s vibe! with @[61580716220863:2048:Juana Babe Abi] and @[61580361006776:2048:Juana Babe Sena]☺️

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",8433,"11/21/2025 23:31",uploaded,https://www.facebook.com/juan365livestream/videos/1957445268314558/,0,0,Live,,,,,Lifetime,11812,11600,7150,1560,3893,1697,1099,1060,,39,,,724273.676,80.681,0,0,
