"Post ID","Page ID","Page name",Title,Description,"Duration (sec)","Publish time","Caption type",Permalink,"Is crosspost","Is share","Post type",Languages,"Custom labels","Funded content status","Data comment",Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,"Seconds viewed","Average Seconds viewed","Estimated earnings (USD)","Total clicks","Other Clicks","Link Clicks","Matched Audience Targeting Consumption (Photo Click)","Approximate content monetization earnings","Negative feedback from users: Hide all","Negative feedback from users: Hide"
122156777204762707,61572881214141,Juan365,"All-in sa saya, Juankada!
Get the hottest updates, exclusive offers, at latest announcements, join our official TG Channel!

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","All-in sa saya, Juankada!
Get the hottest updates, exclusive offers, at latest announcements, join our official TG Channel!

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,"09/21/2025 00:00",N/A,https://www.facebook.com/Juan365officialpage/videos/1188338883209711/,1,0,Videos,,,,,Lifetime,16693,14887,439,279,122,38,35069.544,2.357,0,247,246,1,,0,,
122156758820762707,61572881214141,Juan365,"Sino dito ang naka-LSS na sa Christmas songs? Share your fave!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Sino dito ang naka-LSS na sa Christmas songs? Share your fave!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",9,"09/20/2025 21:30",N/A,https://www.facebook.com/Juan365officialpage/videos/1308660667560090/,1,0,Videos,,,,,Lifetime,21882,19670,446,282,123,41,42870.262,2.199,0,144,144,,,0,,
122156731694762707,61572881214141,Juan365,"SuperAce ang sagot sa non-stop action.
Shuffle up at sabay sabay tayo sa ace vibe!

Download the Juan365 app & join the fun! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada  #GforEveryJuan","SuperAce ang sagot sa non-stop action.
Shuffle up at sabay sabay tayo sa ace vibe!

Download the Juan365 app & join the fun! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada  #GforEveryJuan",11,"09/20/2025 17:01",N/A,https://www.facebook.com/Juan365officialpage/videos/4254026091539354/,1,0,Videos,,,,,Lifetime,8470,7383,449,273,130,46,29937.524,4.506,0,400,400,,,0,,
122156648792762707,61572881214141,Juan365,"Heads up, Juankada! 🚨
Huwag patulan ang suspicious links o messages — IGNORE agad! 
Makipag-usap lamang sa Juan365 CSR at Juan365 Official FB Page.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada  #JuanAlert",,0,"09/20/2025 07:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0cKoZKiLFaNfrhmC91zgSbi2cqeXM2NMbQCB9nPqr6FRwbVEvradb7NYYC4hCLevKl,0,0,Photos,,,,,Lifetime,32811,20008,404,269,97,38,,,,531,437,1,93,0.41,4,1
122156635454762707,61572881214141,Juan365,,,0,"09/20/2025 05:23",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02Rur2Fi69xSA7nAG2FX5X9sNr77Q9AwR8ZKF6MwtRHN5Tu8mT6Uzf7BAhAQFToLfl,0,1,Photos,,,,,Lifetime,40717,23093,326,246,45,35,,,,987,488,,499,0,3,1
122156618444762707,61572881214141,Juan365,"Kung bibigyan ka ngayon… anong una mong gagawin? Comment below! 👇

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/20/2025 03:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0k2N2BBobqdHTn7SQX2wVbhmUQvtMv1Y4GgcEECXKXuuB5VtSXXFP876BYrFgqMAkl,0,0,Photos,,,,,Lifetime,50358,28079,1553,620,816,117,,,,1955,1794,,161,0.66,2,1
122156592008762707,61572881214141,Juan365,"Sige nga, itapat mo nga?

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan","Sige nga, itapat mo nga?

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",10,"09/20/2025 00:01",N/A,https://www.facebook.com/Juan365officialpage/videos/1449917136238880/,1,0,Videos,,,,,Lifetime,27598,21687,810,472,297,41,82321.684,3.611,0,942,942,,,0,,
122156569952762707,61572881214141,Juan365,"Wallpaper pa lang, panalo na! diba, Juankada? 🤩

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/19/2025 21:30",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid026GNYm6qweiCqS3PTi5FQ7aiJNRGNia5QsQBtNUrBde6Ej1EGWXyEsDgZkM5rCwpol,0,0,Photos,,,,,Lifetime,24420,14147,341,213,107,21,,,,330,260,,70,0.31,1,1
122156533670762707,61572881214141,Juan365,"Time to choose your power-up, Juankada! Anong pipiliin mo?

Download the Juan365 app & join the fun! Message us to guide you! 🧡

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",,0,"09/19/2025 17:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0t5nK9NRuRM76ZfuKnDaMsEz7Tpn9emWu2DM1XzxxDxhWa9CdwfTcuB1C4fhnLH25l,0,0,Photos,,,,,Lifetime,47170,27638,941,434,415,92,,,,1336,1101,19,216,0.54,3,3
122156461964762707,61572881214141,Juan365,"Bawal magpahuli! Harapin ang bagong hamon kay Joker Ace, only on Juan365 🔥

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan","Bawal magpahuli! Harapin ang bagong hamon kay Joker Ace, only on Juan365 🔥

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #GforEveryJuan",19,"09/19/2025 07:01",N/A,https://www.facebook.com/Juan365officialpage/videos/1151276043520358/,1,0,Videos,,,,,Lifetime,7915,7590,343,218,96,29,30340.861,4.45,0,211,210,1,,0.03,,
122156415374762707,61572881214141,Juan365,"Alam mo ba, Juankada? Mas masaya ang laro kapag alam mo ang limit mo!
Play smart, play safe — enjoy responsibly!

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan","Alam mo ba, Juankada? Mas masaya ang laro kapag alam mo ang limit mo!
Play smart, play safe — enjoy responsibly!

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #TheResponsibleJuan",10,"09/19/2025 03:01",N/A,https://www.facebook.com/Juan365officialpage/videos/762972490033264/,1,0,Videos,,,,,Lifetime,10823,8093,330,206,65,59,29596.708,3.349,0,343,286,57,,0,,
122156360702762707,61572881214141,Juan365,"🎄✨ 14 Fridays na lang, Juankada! ✨🎄
Amoy Pasko na sa Juan365! 
Ano’ng handa ang NEVER missing sa Christmas table ninyo? Share your fave at baka ikaw ang swertehin 🎉

Sumali na! Here’s how:
1️⃣ Follow Juan365  at  i Download ang Juan365 APP https://apps.apple.com/ph/app/juan365/id6749568347 💙
2️⃣ Share this post para mas marami ang makasali 
3️⃣ Comment your User ID + attach a screenshot na naka-download ka na ng Juan365 App at naka-follow ka sa page 
4️⃣ Tag 5 friends para sabay-sabay ang saya! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","🎄✨ 14 Fridays na lang, Juankada! ✨🎄
Amoy Pasko na sa Juan365! 
Ano’ng handa ang NEVER missing sa Christmas table ninyo? Share your fave at baka ikaw ang swertehin 🎉

Sumali na! Here’s how:
1️⃣ Follow @[61572881214141:2048:Juan365]  at  i Download ang Juan365 APP https://apps.apple.com/ph/app/juan365/id6749568347 💙
2️⃣ Share this post para mas marami ang makasali 
3️⃣ Comment your User ID + attach a screenshot na naka-download ka na ng Juan365 App at naka-follow ka sa page 
4️⃣ Tag 5 friends para sabay-sabay ang saya! 

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,"09/18/2025 21:00",N/A,https://www.facebook.com/Juan365officialpage/videos/1365117415616220/,1,0,Videos,,,,,Lifetime,23474,19582,964,405,321,238,60922.372,3.062,0,685,432,253,,0,,
122156337938762707,61572881214141,Juan365,"Discover the ultimate gaming experience with 759 Gaming —
sama na sa saya, Juankada!

Download the Juan365 app & join the fun! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Discover the ultimate gaming experience with 759 Gaming —
sama na sa saya, Juankada!

Download the Juan365 app & join the fun! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,"09/18/2025 18:00",N/A,https://www.facebook.com/Juan365officialpage/videos/1825113705030081/,1,0,Videos,,,,,Lifetime,12737,11483,598,297,232,69,39507.694,3.701,0,370,370,,,0,,
122156304770762707,61572881214141,Juan365,"Salamat, Alas Pilipinas! 🇵🇭 

Ang bawat palo at puntos ay nagsalita ng tapang at pagmamahal sa Pilipinas. Mabuhay ang pusong palaban! ❤️💙

#Juan365PH #Juan365  #AllInJuanSaSaya #JuanKada #JuanSports",,0,"09/18/2025 14:58",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid023nS4nkTtDrM1TYxNZzkRaYjsuSzQMTZf6emsvb6GQm6JC4FhUkWMUSS19ZsxdNB7l,0,0,Photos,,,,,Lifetime,39167,23093,362,246,96,20,,,,536,409,15,112,0.52,3,
122156276990762707,61572881214141,Juan365,"📣 ADVISORY: System Maintenance (Maya & GCash) – September 19, 2025

Hi Juankada!

Please be informed na may scheduled system maintenance ang ilang financial services sa September 19, 2025 (Friday).

🔧 Maya Maintenance

⏰ 2:00 AM – 3:00 AM

❌ Withdrawals temporarily unavailable

✅ Deposits remain available

🔧 GCash / BancNet Maintenance

⏰ 12:00 AM – 1:00 AM: GCash Card services

⏰ 1:00 AM – 2:00 AM: Bank Transfers and QRPH Payments via GCash

✅ Express Send will still be available

‼️ Plan your transactions ahead to avoid any inconvenience.

Salamat po sa inyong pang-unawa at patuloy na pagtitiwala! 🙏

#Juan365 #MaintenanceUpdateMAYA #QuickFixOnly #TheResponsibleJuan #AllInJuanSaSaya",,0,"09/18/2025 09:57",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0FNx3a12CZ3ywYsoz5KrGyBbE1D3Sk26XXgVKMKXU9RbQKv6XszSWehfnxHvuTp73l,0,0,Photos,,,,,Lifetime,24515,14202,258,174,68,16,,,,483,403,33,47,0.1,1,1
122156255732762707,61572881214141,Juan365,"Free Credits dust para sa maglalapag ng User ID!

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/18/2025 07:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0aBxZnepixxibsQzG2RPEsy8JXEUuv4LwrnCizN8fKrHTu3MC2hhDMgLQtaRsuYeCl,0,0,Photos,,,,,Lifetime,79376,42925,2045,722,1183,140,,,,3589,3236,2,351,0.32,7,5
122156218118762707,61572881214141,Juan365,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",11,"09/18/2025 03:01",N/A,https://www.facebook.com/Juan365officialpage/videos/1428730828433088/,1,0,Videos,,,,,Lifetime,21571,17554,851,523,276,52,70747.646,4.022,0,1033,932,101,,0,,
122156194370762707,61572881214141,Juan365,"Ready na ba kayo, Juankada? 🏐💥 

🇵🇭 PHI vs IRN 🇮🇷 sa FIVB Men’s World Championship!

📅 Sept 18 | 🕠 5:30 PM

Suportahan ang ating mga manlalaro—ipakita ang lakas ng Pinoy! 💪

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",,0,"09/18/2025 00:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02VxTFmqHCZLryoyyJv3QwP8qjop44K5FqDVr39bAXcgrxCzhG5aJ4x9ouqYutQ9sLl,0,0,Photos,,,,,Lifetime,22521,13770,280,204,48,28,,,,212,129,40,43,0.16,3,1
122156159918762707,61572881214141,Juan365,"Sorry Juankada, nabusy yung creatives team namin eh! 😅 Ayaw din naman namin na hindi kayo ma-update kaya kami na muna nag-edit😁

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/17/2025 18:45",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0EjVRGV9W878s92ZLbcjH5qB7W1M9LdTAEEe1ZWzB52eMqghy26NW5nRrEobiPsQ3l,0,0,Photos,,,,,Lifetime,29267,17346,439,275,127,37,,,,475,418,2,55,0.12,1,4
122156149100762707,61572881214141,Juan365,"Think fast. Play smart. Outsmart the Joker or get played!
Walang daya, walang takas—kaya mo ba siyang talunin? Prove it today!

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada  #GforEveryJuan","Think fast. Play smart. Outsmart the Joker or get played!
Walang daya, walang takas—kaya mo ba siyang talunin? Prove it today!

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada  #GforEveryJuan",20,"09/17/2025 16:30",N/A,https://www.facebook.com/Juan365officialpage/videos/1314083140410747/,1,0,Videos,,,,,Lifetime,18498,16767,417,280,99,38,68645.078,4.113,0,280,279,1,,0.06,,
122156087396762707,61572881214141,Juan365,"Gaming is fun.
Overspending? Never.
Smart play is the real win.
Stay in Control, everyJuan.

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada  #TheResponsibleJuan",,0,"09/17/2025 07:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02eAcJoTvaFLK66avqYoCeF898ZhWJ4gKLLDD7N2sqZqAHUeykMTjVDiyjPhAFS8gHl,0,0,Photos,,,,,Lifetime,33845,20234,535,317,166,52,,,,517,417,1,99,0.14,7,1
122156055200762707,61572881214141,Juan365,"Your reel",,10,"09/17/2025 03:01",N/A,https://www.facebook.com/Juan365officialpage/videos/1477575853484393/,0,0,Videos,,,,,Lifetime,14828,18272,582,362,153,67,49286.066,2.604,0,246,242,4,,0,,
122156031968762707,61572881214141,Juan365,"From World No. 88 to shocking the globe 🌍

Ginulat ng Alas Pilipinas Men ang World No. 21 Egypt para sa unang makasaysayang panalo sa 2025 FIVB Men’s World Championship! 🏐💥

History unlocked. ✨ Mabuhay ang Alas, Mabuhay ang PILIPINAS! 🇵🇭

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada #JuanSports",,0,"09/17/2025 00:01",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02czMSYoDS1ygD4B4oyEpKGU1pjK8RkSxEQYDEoG8UX45TrWvVi99ycVqV8norU2Mgl,0,0,Photos,,,,,Lifetime,30360,17360,413,285,79,49,,,,343,243,24,76,0.07,3,
122156018660762707,61572881214141,Juan365,"Happy National Pet Bird Day! 🐦✨ Pasilip naman ng ibon mo, Juankada! 😁

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,"09/16/2025 22:18",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02McyqXri2WKhhnQRJ6ewSsNfXbLbmbNhvzcdW2Q6xeaBfMHPD8Px4GnV58APH3iEdl,0,0,Photos,,,,,Lifetime,61054,34571,901,495,379,27,,,,1407,1253,51,103,0.15,2,3
122156011190762707,61572881214141,Juan365,"Comment ‘Present!’ + your User ID para masama sa swerte today!

Download the Juan365 app & join the fun! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Comment ‘Present!’ + your User ID para masama sa swerte today!

Download the Juan365 app & join the fun! Message us to guide you! 🧡

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",10,"09/16/2025 21:01",N/A,https://www.facebook.com/Juan365officialpage/videos/1121060393330258/,1,0,Videos,,,,,Lifetime,31709,25937,1666,714,798,154,92176.083,3.466,0,1313,1313,,,0,,
122155952054762707,61572881214141,Juan365,"Kaya kung gusto mo rin makita si The Juan mo, tara na! 😉

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",,0,"09/16/2025 16:30",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid02PM8G8UAFysd2PZn6HJN1Dz1AWQf3v59UViF4Huk723oeT7TeQd7xQ3QeJXFRaTEil,0,0,Photos,,,,,Lifetime,49636,29625,437,244,155,38,,,,839,682,37,120,0.18,5,2
122155861292762707,61572881214141,Juan365,"Reminder, Juankada! ⚠️
Trust Juan365 Official Page at Juan365 CSR only for any concern.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada  #JuanAlert","Reminder, Juankada! ⚠️
Trust Juan365 Official Page at Juan365 CSR only for any concern.

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada  #JuanAlert",10,"09/16/2025 07:01",N/A,https://www.facebook.com/Juan365officialpage/videos/3122023357958208/,1,0,Videos,,,,,Lifetime,37076,27916,795,492,232,71,99940.989,3.18,0,510,509,1,,0.01,,
122155829942762707,61572881214141,Juan365,"Payday blues vibes
Kahapon sweldo, ngayon puro resibo…
Team Petsa de Peligro ka ba o Team Bagong Sahod? 🤑
Comment mo sa baba, Juankada!

Download the Juan365 app & join the fun, Juankada! Message us to guide you! 🧡

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",,0,"09/16/2025 03:00",N/A,https://www.facebook.com/Juan365officialpage/posts/pfbid0Gy1ni5uK1Nro66Uo3mNdY4NGun7Vf9pdvQwS2Drz7mkLydpZfKjHwBoMQGrN2Xq2l,0,0,Photos,,,,,Lifetime,43934,24658,623,361,204,58,,,,547,444,1,102,0.11,2,1
122155811924762707,61572881214141,Juan365,"Juan365 updated his cover photo.",,0,"09/16/2025 00:30",N/A,https://www.facebook.com/photo.php?fbid=122155811924762707&set=a.122127416456762707&type=3,0,0,Photos,,,,,Lifetime,1013,583,793,530,190,73,,,,19,10,6,3,0.24,2,1
122155811576762707,61572881214141,Juan365,"Download the Juan365 app https://apps.apple.com/ph/app/juan365/id6749568347 & join the fun, Juankada!",,0,"09/16/2025 00:29",N/A,https://www.facebook.com/photo.php?fbid=122155811576762707&set=a.122094547100762707&type=3,0,0,Photos,,,,,Lifetime,69595,37236,1282,782,406,94,,,,2361,1089,1176,96,1.16,7,4
122155783658762707,61572881214141,Juan365,"Update your Juan365 app now to get the latest push notifications — diretso sa phone mo ang winning updates, promotion updates, at exciting bonuses! 🎉 Don't forget to click 'Allow' sa push notifications ha!

Download the Juan365 app https://apps.apple.com/ph/app/juan365/id6749568347 & join the fun, Juankada! Message us to guide you! 🧡

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada","Update your Juan365 app now to get the latest push notifications — diretso sa phone mo ang winning updates, promotion updates, at exciting bonuses! 🎉 Don't forget to click 'Allow' sa push notifications ha!

Download the Juan365 app https://apps.apple.com/ph/app/juan365/id6749568347 & join the fun, Juankada! Message us to guide you! 🧡

#Juan365  #Juan365PH  #AllInJuanSaSaya  #JuanKada",10,"09/15/2025 21:01",N/A,https://www.facebook.com/Juan365officialpage/videos/4067921253461731/,1,0,Videos,,,,,Lifetime,26466,21006,736,414,255,67,73903.362,3.328,0,855,401,454,,0,,
